srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services under General economic services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food (NSSF),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services under Administrative services ,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department
PUDUCHERRY,2011-12,Accounts,322223.0,224943.0,149774.0,46736.0,30458.0,579.0,5763.0,2493.0,5085.0,11387.0,1887.0,23349.0,2719.0,18496.0,824.0,75169.0,21056.0,5132.0,179.0,2662.0,77.0,4773.0,430.0,,5211.0,1559.0,,647.0,384.0,5237.0,3492.0,2293.0,,2066.0,227.0,25541.0,25541.0,8741.0,2542.0,6198.0,,4388.0,3484.0,903.0,255.0,4167.0,602.0,2346.0,826.0,393.0,96824.0,3444.0,3194.0,3194.0,,40200.0,1187.0,39014.0,19836.0,16283.0,14999.0,,2860.0,34.0,20285.0,1497.0,346.0,9380.0,2514.0,6548.0,29600.0,101.0,,456.0,456.0,,
NAGALAND,2011-12,Budget Estimates,460054.0,248883.0,113988.0,65072.0,19265.0,1678.0,4044.0,519.0,1836.0,2311.0,1928.0,7916.0,6268.0,522.0,2627.0,134896.0,35902.0,14818.0,3899.0,5790.0,314.0,2205.0,4761.0,,1281.0,1107.0,,1727.0,,12450.0,,17835.0,,17835.0,,21204.0,20889.0,5959.0,4460.0,1500.0,,17283.0,12507.0,4777.0,3056.0,12951.0,9798.0,636.0,,2518.0,211171.0,4520.0,3786.0,3782.0,4.0,46867.0,2900.0,43967.0,2783.0,36653.0,25670.0,1500.0,4530.0,,98103.0,6441.0,7720.0,69053.0,5727.0,9162.0,57629.0,266.0,169.0,,,,
GOA,2011-12,Revised Estimates,617361.0,439156.0,229272.0,113506.0,40983.0,900.0,25566.0,1520.0,8736.0,3451.0,4279.0,26389.0,1003.0,677.0,2263.0,209883.0,24933.0,8580.0,219.0,3211.0,1474.0,3249.0,4391.0,,2165.0,212.0,,1317.0,115.0,10584.0,,8555.0,2829.0,3625.0,1370.0,115695.0,115545.0,12100.0,5104.0,6496.0,500.0,27413.0,16381.0,11032.0,522.0,9175.0,1489.0,5203.0,419.0,2064.0,178206.0,8978.0,4718.0,4707.0,11.0,71629.0,3000.0,68629.0,3489.0,55786.0,24037.0,28000.0,7095.0,2260.0,41710.0,2552.0,2515.0,22100.0,7999.0,6545.0,50000.0,1170.0,53.0,,,,
RAJASTHAN,2011-12,Budget Estimates,5193474.0,3281574.0,2077694.0,1141897.0,246924.0,55082.0,159761.0,3931.0,147009.0,50158.0,11002.0,95384.0,96148.0,64213.0,6184.0,1203879.0,229969.0,107354.0,7024.0,36937.0,,1519.0,57986.0,,,10730.0,,7702.0,717.0,377581.0,,146524.0,122930.0,21688.0,,216334.0,215685.0,19731.0,3515.0,16217.0,,126176.0,121676.0,4500.0,3629.0,83876.0,40697.0,2408.0,30789.0,9981.0,1885524.0,50916.0,103207.0,103055.0,153.0,801247.0,,801247.0,58389.0,539911.0,286174.0,223702.0,197808.0,5140.0,309899.0,12284.0,30541.0,217279.0,13081.0,36712.0,615547.0,4707.0,,26376.0,26376.0,,
PUNJAB,2011-12,Budget Estimates,3540575.0,1690839.0,986766.0,516822.0,151345.0,17324.0,39647.0,,6301.0,47517.0,18153.0,117853.0,16739.0,49007.0,6058.0,704073.0,124587.0,47317.0,8259.0,31552.0,4416.0,2019.0,7533.0,,,14354.0,,8629.0,509.0,16820.0,,118631.0,94967.0,12813.0,10852.0,302121.0,302000.0,17417.0,7870.0,9547.0,,61413.0,29941.0,31472.0,1800.0,61284.0,9160.0,414.0,48125.0,3585.0,1702376.0,43848.0,44960.0,42808.0,2152.0,653001.0,,653001.0,18975.0,526406.0,256000.0,243176.0,86330.0,21289.0,472375.0,12915.0,21577.0,279217.0,50410.0,108256.0,482187.0,6006.0,4810.0,147360.0,147360.0,,
PUNJAB,2011-12,Revised Estimates,3659943.0,1840610.0,1138732.0,615451.0,151877.0,17323.0,44911.0,,2740.0,64451.0,16147.0,134085.0,16839.0,69008.0,5901.0,701877.0,114582.0,32322.0,8076.0,28803.0,2629.0,2080.0,8333.0,,,15371.0,,16442.0,526.0,19408.0,,116541.0,92423.0,13513.0,10605.0,320821.0,320699.0,9990.0,6094.0,3897.0,,58025.0,29541.0,28484.0,1232.0,61278.0,8555.0,1735.0,47626.0,3363.0,1643411.0,56070.0,44962.0,42934.0,2028.0,627087.0,,627087.0,19764.0,487232.0,231032.0,228416.0,95285.0,24806.0,428141.0,13397.0,21825.0,292696.0,50642.0,49581.0,480328.0,6824.0,4810.0,175922.0,175922.0,,
PUNJAB,2011-12,Accounts,3304532.0,1551058.0,924651.0,528957.0,139810.0,15269.0,39804.0,,2363.0,28579.0,14343.0,101005.0,12872.0,36524.0,5125.0,626408.0,86387.0,21793.0,4854.0,26129.0,1245.0,1341.0,7319.0,,,14565.0,,8632.0,509.0,13896.0,,99004.0,76025.0,13125.0,9854.0,320090.0,320007.0,5286.0,4876.0,410.0,,69307.0,38540.0,30767.0,486.0,31952.0,4346.0,133.0,25082.0,2391.0,1678794.0,49412.0,37865.0,35922.0,1943.0,628001.0,,628001.0,20624.0,484724.0,229687.0,227349.0,98176.0,24477.0,392286.0,12276.0,19560.0,285421.0,30108.0,44921.0,565720.0,5510.0,4507.0,74680.0,74680.0,,
ASSAM,2011-12,Accounts,2652856.0,1437528.0,1027717.0,613264.0,129077.0,17024.0,28565.0,1487.0,35966.0,50717.0,10374.0,70651.0,37679.0,28362.0,4550.0,409811.0,119181.0,50646.0,3555.0,18962.0,2882.0,5402.0,25381.0,,8836.0,15426.0,,5240.0,523.0,81186.0,18561.0,49234.0,5965.0,23463.0,19540.0,10192.0,10157.0,31909.0,19952.0,11957.0,,72606.0,61909.0,10697.0,1302.0,25639.0,17531.0,1586.0,34.0,6487.0,970774.0,24801.0,25932.0,25787.0,145.0,220750.0,13300.0,207450.0,13617.0,153152.0,92533.0,54579.0,40681.0,,360062.0,102355.0,10230.0,179881.0,22471.0,45125.0,313607.0,25622.0,,244554.0,244554.0,,
HARYANA,2011-12,Budget Estimates,3467887.0,2389204.0,1396852.0,713623.0,125064.0,11775.0,90931.0,1855.0,119501.0,33978.0,23913.0,224927.0,18753.0,25823.0,6709.0,992352.0,173838.0,61242.0,5226.0,36906.0,383.0,2464.0,22102.0,,1353.0,24419.0,,19568.0,177.0,110149.0,,126498.0,107546.0,835.0,,333406.0,332111.0,10942.0,5520.0,5422.0,,206854.0,81082.0,125772.0,1590.0,29074.0,24944.0,230.0,1000.0,2899.0,1068407.0,40286.0,25547.0,25445.0,102.0,453199.0,15222.0,437977.0,17253.0,346636.0,145127.0,125705.0,70897.0,3191.0,224247.0,8201.0,11919.0,160432.0,21547.0,22149.0,325010.0,119.0,12.0,10276.0,10276.0,,
HARYANA,2011-12,Revised Estimates,3604925.0,2505570.0,1486971.0,709709.0,130245.0,11775.0,142986.0,1875.0,148242.0,34356.0,23392.0,223509.0,14965.0,38112.0,7805.0,1018599.0,166557.0,55092.0,4814.0,37178.0,267.0,2321.0,22534.0,,1317.0,24416.0,,18467.0,151.0,116592.0,,140804.0,121953.0,734.0,,359209.0,358018.0,11171.0,5730.0,5441.0,,193309.0,76432.0,116877.0,2680.0,28279.0,24939.0,272.0,100.0,2967.0,1082932.0,50738.0,26002.0,25896.0,106.0,449545.0,15089.0,434456.0,14370.0,349288.0,134669.0,116945.0,67456.0,3341.0,231531.0,8859.0,12890.0,163767.0,23074.0,22941.0,325000.0,116.0,17.0,16424.0,16424.0,,
HARYANA,2011-12,Accounts,3201489.0,2169564.0,1264167.0,628847.0,109437.0,10371.0,133620.0,2247.0,95419.0,24945.0,21553.0,201489.0,13869.0,15417.0,6953.0,905397.0,142109.0,38358.0,4416.0,34290.0,252.0,2250.0,20946.0,,1194.0,22965.0,,17294.0,143.0,109717.0,,99722.0,84610.0,726.0,,359124.0,358006.0,8916.0,4710.0,4206.0,,159285.0,52609.0,106676.0,1196.0,25329.0,23333.0,270.0,,1725.0,1021983.0,44212.0,24390.0,24300.0,90.0,415170.0,15089.0,400081.0,14366.0,313127.0,140405.0,116222.0,67027.0,5561.0,217657.0,8468.0,11731.0,154744.0,21536.0,21178.0,320416.0,138.0,17.0,9942.0,9942.0,,
JHARKHAND,2011-12,Budget Estimates,2403777.0,1617056.0,952439.0,511655.0,89220.0,20930.0,31215.0,2210.0,17709.0,74864.0,22378.0,102459.0,36813.0,36055.0,6932.0,664617.0,118503.0,49790.0,2823.0,12973.0,8243.0,3595.0,24481.0,,,8854.0,,7325.0,419.0,208395.0,,38281.0,29690.0,8091.0,100.0,105694.0,102194.0,24959.0,14241.0,10717.0,,83988.0,26709.0,57279.0,,84798.0,2988.0,780.0,78353.0,2677.0,786666.0,28608.0,31856.0,31600.0,256.0,239487.0,,239487.0,22932.0,196199.0,56091.0,97751.0,20203.0,153.0,277107.0,7093.0,38368.0,207262.0,7434.0,16950.0,209609.0,,,55.0,55.0,,
JHARKHAND,2011-12,Revised Estimates,2519743.0,1692404.0,994276.0,516958.0,89316.0,20876.0,35636.0,2510.0,17916.0,82765.0,20274.0,113830.0,37483.0,48555.0,8157.0,698128.0,126274.0,49450.0,2841.0,13394.0,6622.0,4533.0,25769.0,,,8863.0,,14353.0,450.0,205128.0,,38296.0,29776.0,8105.0,100.0,86983.0,83483.0,23050.0,11488.0,11562.0,,107686.0,29406.0,78279.0,,110711.0,3113.0,929.0,103818.0,2851.0,827284.0,34382.0,33196.0,32919.0,277.0,240412.0,,240412.0,22932.0,196838.0,56091.0,97751.0,20203.0,439.0,309684.0,7507.0,38109.0,232876.0,8486.0,22706.0,209609.0,,,55.0,55.0,,
JHARKHAND,2011-12,Accounts,2099158.0,1314603.0,728703.0,405589.0,75657.0,6908.0,33958.0,2311.0,10603.0,62399.0,12744.0,81043.0,33355.0,2435.0,6570.0,585900.0,98060.0,30370.0,2582.0,10775.0,6082.0,3756.0,21829.0,,,8475.0,,13848.0,344.0,168861.0,,28208.0,21990.0,6202.0,,85983.0,82483.0,21116.0,10746.0,10370.0,,82998.0,27721.0,55277.0,,100673.0,2477.0,707.0,95495.0,1994.0,784555.0,28412.0,24547.0,24310.0,237.0,226708.0,,226708.0,16581.0,194120.0,61865.0,98567.0,15777.0,230.0,275220.0,5513.0,33157.0,209871.0,7846.0,18834.0,229669.0,,,,,,
GUJARAT,2011-12,Accounts,5974446.0,3806414.0,2454578.0,1170796.0,221928.0,43807.0,64560.0,43773.0,431056.0,152173.0,41424.0,51056.0,164455.0,54632.0,14918.0,1351836.0,290863.0,126568.0,14807.0,34792.0,8361.0,5353.0,31465.0,,8568.0,43033.0,,16780.0,1136.0,145404.0,5840.0,92626.0,49623.0,38037.0,3781.0,335871.0,333971.0,79005.0,33562.0,45433.0,10.0,337767.0,262508.0,75259.0,15424.0,49037.0,8638.0,8431.0,22790.0,9178.0,2148054.0,52877.0,41399.0,41132.0,267.0,1123386.0,30000.0,1093386.0,72688.0,912555.0,389014.0,492623.0,60094.0,48048.0,308651.0,12691.0,22998.0,216570.0,22423.0,33969.0,614484.0,7256.0,,19978.0,19978.0,,
GUJARAT,2011-12,Revised Estimates,6037165.0,3845153.0,2484987.0,1199027.0,229889.0,43956.0,65808.0,46236.0,431276.0,151398.0,43906.0,52021.0,165948.0,39501.0,16020.0,1360166.0,293276.0,127628.0,14765.0,35318.0,8539.0,5520.0,31888.0,,8795.0,43188.0,,16494.0,1139.0,154826.0,,98755.0,51765.0,40555.0,5187.0,335692.0,334066.0,80999.0,34051.0,46934.0,14.0,321317.0,246761.0,74556.0,12125.0,56733.0,9410.0,8431.0,22895.0,15996.0,2172956.0,66023.0,46754.0,6727.0,276.0,1124823.0,30000.0,1094823.0,72677.0,913280.0,389023.0,492623.0,60800.0,48066.0,330627.0,14886.0,27493.0,223980.0,30022.0,34247.0,597762.0,6968.0,,19056.0,19056.0,,
GUJARAT,2011-12,Budget Estimates,5944232.0,3605413.0,2355320.0,1091162.0,223817.0,42434.0,64700.0,47920.0,429423.0,139278.0,45814.0,51842.0,149651.0,53245.0,16034.0,1250093.0,268506.0,116439.0,12819.0,25721.0,8375.0,5761.0,30288.0,,14718.0,36469.0,,16912.0,1004.0,159453.0,,103522.0,57041.0,40568.0,4553.0,293892.0,291991.0,86919.0,35076.0,51828.0,15.0,251412.0,196446.0,54966.0,19497.0,60022.0,10684.0,5536.0,29990.0,13811.0,2323446.0,66182.0,63706.0,63442.0,264.0,1176061.0,100000.0,1076061.0,72795.0,908872.0,387652.0,486089.0,44992.0,49402.0,324471.0,21875.0,32518.0,216354.0,16113.0,37610.0,537052.0,155974.0,,15373.0,15373.0,,
ANDHRA PRADESH,2011-12,Budget Estimates,9716963.0,6595081.0,4103660.0,1736380.0,419122.0,83053.0,72833.0,97798.0,334069.0,542994.0,34210.0,358562.0,352487.0,54465.0,17685.0,2491421.0,411815.0,214699.0,6478.0,63103.0,,9009.0,41500.0,,,45100.0,,30672.0,1255.0,409938.0,,851654.0,779997.0,57587.0,11656.0,443055.0,442181.0,90560.0,61113.0,28148.0,1300.0,182758.0,158789.0,23969.0,1872.0,99768.0,61378.0,1903.0,18164.0,18322.0,3084927.0,88279.0,121188.0,115478.0,5710.0,1205938.0,62210.0,1143728.0,114807.0,945372.0,572647.0,244818.0,83548.0,1.0,700238.0,95737.0,121775.0,367145.0,38244.0,77337.0,969272.0,11.0,,36955.0,36955.0,,
ANDHRA PRADESH,2011-12,Revised Estimates,9641457.0,6580293.0,4067977.0,1688761.0,428948.0,83053.0,73656.0,97798.0,334069.0,543196.0,30998.0,364015.0,352487.0,53528.0,17469.0,2512316.0,413291.0,214580.0,6736.0,65572.0,,7687.0,42066.0,,,45100.0,,30352.0,1198.0,409822.0,,882728.0,811526.0,58323.0,10465.0,442098.0,441163.0,90567.0,61128.0,28138.0,1300.0,180527.0,156667.0,23860.0,1897.0,91386.0,61366.0,1899.0,18172.0,9949.0,3024208.0,87987.0,120097.0,114385.0,5712.0,1141217.0,62210.0,1079007.0,114807.0,883343.0,520225.0,265916.0,80856.0,1.0,608686.0,16651.0,121773.0,358416.0,36638.0,75209.0,1066199.0,21.0,,36955.0,36955.0,,
ANDHRA PRADESH,2011-12,Accounts,9041536.0,6032618.0,3801691.0,1493416.0,419305.0,83243.0,39269.0,53748.0,238799.0,575640.0,26443.0,401603.0,307312.0,127698.0,35215.0,2230926.0,418827.0,260168.0,3036.0,45127.0,,7113.0,33531.0,,,52285.0,,16589.0,978.0,368049.0,,689508.0,634933.0,41036.0,11713.0,441583.0,440739.0,47043.0,27604.0,18338.0,1100.0,163931.0,150615.0,13316.0,1284.0,100702.0,66574.0,3079.0,15300.0,15748.0,2987419.0,77412.0,92364.0,86729.0,5635.0,1117100.0,61022.0,1056077.0,97044.0,881361.0,521878.0,266290.0,77672.0,,589521.0,13812.0,81152.0,397959.0,26313.0,70286.0,1110985.0,37.0,,21499.0,21499.0,,
KARNATAKA,2011-12,Budget Estimates,6503433.0,4217810.0,2487875.0,1214834.0,261360.0,38666.0,24391.0,119224.0,71395.0,293336.0,41606.0,316783.0,61914.0,17606.0,26760.0,1729935.0,634348.0,250486.0,27982.0,52148.0,29800.0,15440.0,97816.0,,90376.0,26512.0,,43788.0,,206398.0,,110727.0,23552.0,16106.0,,432496.0,430528.0,74711.0,52958.0,21753.0,,146114.0,118898.0,27217.0,4789.0,106855.0,17904.0,8879.0,1755.0,78317.0,1851287.0,69887.0,72541.0,71868.0,673.0,695000.0,,695000.0,81898.0,491973.0,263923.0,204311.0,121117.0,12.0,460556.0,9605.0,30514.0,235608.0,45863.0,138967.0,550000.0,3303.0,,434336.0,434336.0,,
KARNATAKA,2011-12,Revised Estimates,6525382.0,4336995.0,2589914.0,1265483.0,261923.0,38331.0,24442.0,109225.0,76024.0,296721.0,36170.0,369765.0,62414.0,17606.0,31810.0,1747081.0,582731.0,194431.0,26082.0,53899.0,35931.0,11495.0,98244.0,,86532.0,33620.0,,42499.0,,195922.0,,101887.0,23543.0,16750.0,,518176.0,516208.0,72091.0,49631.0,22460.0,,147503.0,120098.0,27406.0,4389.0,107354.0,18191.0,9487.0,2017.0,77660.0,1749322.0,72587.0,80196.0,79523.0,673.0,600000.0,,600000.0,76796.0,418653.0,186386.0,208011.0,104539.0,12.0,427121.0,10442.0,31368.0,233922.0,47055.0,104335.0,566000.0,3418.0,,439066.0,439066.0,,
KARNATAKA,2011-12,Accounts,6511507.0,4432563.0,2517174.0,1224005.0,258934.0,36886.0,22567.0,104931.0,59778.0,293951.0,26129.0,367330.0,64647.0,23937.0,34079.0,1915390.0,550108.0,169182.0,22649.0,51125.0,36814.0,9908.0,80385.0,,82907.0,36586.0,,60551.0,,194904.0,13462.0,61148.0,21360.0,15875.0,20.0,532607.0,530936.0,74645.0,54110.0,20534.0,,169531.0,135309.0,34222.0,4004.0,314982.0,14765.0,10708.0,1344.0,288166.0,1644548.0,65590.0,63814.0,63188.0,625.0,606185.0,,606185.0,77575.0,418555.0,186366.0,208011.0,110047.0,8.0,362199.0,8743.0,28158.0,221871.0,51581.0,51846.0,543620.0,3141.0,,434396.0,434396.0,,
GOA,2011-12,Budget Estimates,604120.0,427016.0,229909.0,111646.0,37600.0,900.0,21759.0,1520.0,13736.0,3451.0,10095.0,26171.0,1003.0,266.0,1763.0,197106.0,21479.0,8080.0,219.0,2986.0,1474.0,2982.0,3001.0,,1265.0,212.0,,1145.0,115.0,10184.0,,8039.0,2820.0,3418.0,1070.0,100495.0,100345.0,20794.0,3847.0,16446.0,500.0,25953.0,14981.0,10972.0,522.0,8734.0,1479.0,4803.0,419.0,2034.0,177104.0,6558.0,4675.0,4664.0,11.0,71629.0,3000.0,68629.0,3489.0,55786.0,24037.0,28000.0,7095.0,2260.0,43071.0,2482.0,4765.0,22100.0,7363.0,6362.0,50000.0,1170.0,53.0,,,,
WEST BENGAL,2011-12,Budget Estimates,7413875.0,4382663.0,3346440.0,1617715.0,335853.0,50217.0,107084.0,13155.0,466480.0,63297.0,20306.0,518460.0,92305.0,32842.0,28726.0,1036223.0,220020.0,64687.0,2576.0,32355.0,16029.0,11654.0,36033.0,,17173.0,13090.0,,19957.0,6467.0,339497.0,,109463.0,32752.0,52930.0,22981.0,21398.0,20000.0,76433.0,38169.0,38264.0,,111581.0,53496.0,58085.0,4443.0,36542.0,8668.0,2849.0,4672.0,20352.0,2979456.0,74652.0,122177.0,118628.0,3549.0,1602334.0,93000.0,1509334.0,81180.0,1301450.0,555383.0,680205.0,62100.0,64604.0,489658.0,17390.0,16324.0,319569.0,47113.0,89261.0,687915.0,2720.0,2536.0,51756.0,51756.0,,
WEST BENGAL,2011-12,Revised Estimates,7641740.0,4432706.0,3384794.0,1687433.0,322732.0,43546.0,106671.0,12835.0,413845.0,89438.0,19729.0,543332.0,84262.0,32529.0,28443.0,1047912.0,218592.0,70642.0,2569.0,29725.0,14009.0,12167.0,35590.0,,17357.0,12560.0,,18775.0,5199.0,360692.0,,115587.0,41751.0,51608.0,21426.0,24870.0,23789.0,64058.0,33511.0,30547.0,,107894.0,51776.0,56119.0,3960.0,40132.0,8726.0,2429.0,4523.0,24454.0,3160728.0,78135.0,118203.0,114976.0,3228.0,1609731.0,,1609731.0,65613.0,1408428.0,583830.0,765858.0,64000.0,71690.0,512371.0,16579.0,15481.0,347669.0,42791.0,89851.0,838554.0,3734.0,3567.0,48306.0,48306.0,,
UTTARAKHAND,2011-12,Accounts,1297533.0,812129.0,601967.0,346286.0,61893.0,7911.0,26251.0,174.0,17110.0,17736.0,5400.0,50724.0,,62915.0,5567.0,210162.0,119157.0,42910.0,21.0,9064.0,1113.0,514.0,30515.0,56.0,19973.0,11476.0,,3516.0,,33528.0,,28885.0,23217.0,5344.0,324.0,998.0,24.0,4287.0,3777.0,510.0,,17530.0,15645.0,1885.0,1363.0,4415.0,1034.0,2812.0,282.0,286.0,447523.0,20367.0,19181.0,18813.0,368.0,179421.0,2500.0,176921.0,3818.0,132581.0,57837.0,63424.0,36861.0,3661.0,114540.0,7055.0,6563.0,64285.0,24596.0,12040.0,113510.0,505.0,,37880.0,37880.0,,
UTTARAKHAND,2011-12,Revised Estimates,1432154.0,875682.0,615261.0,314688.0,67725.0,8077.0,31756.0,182.0,20154.0,23620.0,7141.0,67500.0,,66047.0,8372.0,260421.0,144212.0,50616.0,,9353.0,1223.0,579.0,33525.0,55.0,32134.0,12095.0,,4633.0,,44945.0,,29489.0,23557.0,5547.0,385.0,1524.0,286.0,4512.0,3928.0,584.0,,21318.0,19300.0,2018.0,2533.0,11889.0,2439.0,5878.0,415.0,3156.0,509964.0,25435.0,21900.0,21414.0,486.0,195702.0,16000.0,179702.0,4000.0,133315.0,55361.0,66000.0,32700.0,9687.0,125229.0,9835.0,7270.0,68955.0,24615.0,14554.0,141495.0,202.0,,46508.0,46508.0,,
UTTARAKHAND,2011-12,Budget Estimates,1432570.0,879904.0,644789.0,330638.0,75303.0,8915.0,44097.0,182.0,30956.0,17587.0,7090.0,60048.0,,63347.0,6627.0,235114.0,126598.0,40347.0,,8735.0,1223.0,579.0,30778.0,55.0,32134.0,8845.0,,3902.0,,37577.0,,30771.0,24649.0,5737.0,385.0,950.0,276.0,4193.0,3692.0,501.0,,21268.0,19300.0,1968.0,2503.0,11254.0,2411.0,5370.0,415.0,3059.0,499394.0,22564.0,20975.0,20511.0,464.0,197203.0,16000.0,181203.0,4000.0,134911.0,51561.0,66000.0,32700.0,9592.0,116956.0,9583.0,7270.0,64583.0,22905.0,12615.0,141495.0,202.0,,53272.0,53272.0,,
WEST BENGAL,2011-12,Accounts,7332637.0,4053290.0,3156377.0,1589642.0,312347.0,47581.0,65680.0,10344.0,319788.0,77418.0,17577.0,507424.0,68553.0,119200.0,20823.0,896912.0,193700.0,73805.0,2334.0,25853.0,10640.0,10351.0,30853.0,,15644.0,11966.0,,10275.0,1982.0,293155.0,97089.0,85364.0,27652.0,37429.0,19464.0,38085.0,36895.0,59377.0,31345.0,28031.0,,102074.0,57296.0,44778.0,1689.0,26380.0,7363.0,2239.0,3557.0,13221.0,3228897.0,54890.0,98800.0,96320.0,2479.0,1589599.0,,1589599.0,66092.0,1412460.0,583896.0,765858.0,56943.0,54104.0,475429.0,16499.0,14377.0,320173.0,44758.0,79623.0,1006574.0,3604.0,3525.0,50451.0,50451.0,,
KERALA,2011-12,Budget Estimates,4496142.0,2295610.0,1686576.0,986980.0,238873.0,25754.0,60283.0,12249.0,62302.0,94055.0,52895.0,125494.0,270.0,17719.0,9703.0,609034.0,285150.0,90396.0,5366.0,32350.0,9846.0,15141.0,30365.0,,60202.0,23487.0,,16635.0,1362.0,55949.0,,46015.0,24198.0,18657.0,2335.0,4261.0,4178.0,29964.0,22822.0,7142.0,,130191.0,120521.0,9670.0,10767.0,42901.0,14347.0,18692.0,1418.0,8444.0,1866884.0,55839.0,92012.0,81367.0,10644.0,657256.0,31800.0,625456.0,44833.0,417230.0,244049.0,114737.0,163393.0,,273046.0,12974.0,21093.0,160989.0,17128.0,60862.0,731191.0,57542.0,55910.0,333648.0,333648.0,,
KERALA,2011-12,Revised Estimates,4505949.0,2258815.0,1609003.0,932397.0,239095.0,25754.0,51533.0,10755.0,46458.0,101433.0,50534.0,125675.0,270.0,15407.0,9693.0,649813.0,291655.0,87288.0,4890.0,33320.0,9887.0,18335.0,30009.0,,64672.0,23714.0,,17723.0,1817.0,65835.0,,46126.0,24270.0,18695.0,2337.0,12321.0,5542.0,29812.0,22490.0,7054.0,267.0,147098.0,131668.0,15430.0,10067.0,43141.0,14208.0,19045.0,1422.0,8466.0,1902151.0,57118.0,91153.0,80507.0,10645.0,636843.0,1000.0,635843.0,39933.0,417625.0,248466.0,113687.0,178286.0,,272127.0,13339.0,20983.0,159686.0,17329.0,60790.0,773074.0,71836.0,66891.0,344983.0,344983.0,,
KERALA,2011-12,Accounts,4604462.0,2235553.0,1622386.0,942474.0,247378.0,30621.0,38302.0,10556.0,27397.0,105892.0,42659.0,151036.0,160.0,14181.0,11729.0,613166.0,309889.0,87617.0,5007.0,33617.0,10603.0,20802.0,29112.0,,78996.0,23806.0,,18503.0,1826.0,41436.0,3397.0,36217.0,20051.0,13941.0,1644.0,9813.0,5487.0,31586.0,25001.0,6345.0,240.0,133067.0,116274.0,16793.0,8355.0,39407.0,13414.0,14804.0,2157.0,9031.0,2030002.0,54885.0,94785.0,83559.0,11226.0,630360.0,1000.0,629360.0,41932.0,411896.0,248474.0,113687.0,175532.0,,281396.0,14016.0,21975.0,172109.0,14154.0,59143.0,870030.0,98546.0,90173.0,338908.0,338908.0,,
MADHYA PRADESH,2011-12,Budget Estimates,5392349.0,3248539.0,2027733.0,1028999.0,210823.0,35208.0,63084.0,24638.0,103761.0,170018.0,19266.0,215679.0,91582.0,50987.0,13689.0,1220806.0,468415.0,140249.0,6778.0,58994.0,,5695.0,135648.0,,74999.0,6696.0,,39355.0,,347274.0,,50475.0,40502.0,8731.0,,168340.0,165501.0,41770.0,17910.0,23860.0,,70602.0,70483.0,120.0,5387.0,68541.0,51785.0,2476.0,,14281.0,1822045.0,70209.0,205158.0,204901.0,258.0,534218.0,,534218.0,72333.0,382288.0,162593.0,165000.0,70847.0,8749.0,493258.0,15832.0,37794.0,240785.0,34281.0,164566.0,515805.0,3398.0,,321765.0,321765.0,,
MADHYA PRADESH,2011-12,Revised Estimates,5574410.0,3477912.0,2113133.0,1097460.0,222158.0,35156.0,61440.0,30711.0,100308.0,179991.0,20684.0,224134.0,88384.0,40003.0,12705.0,1364778.0,530550.0,151599.0,6079.0,59423.0,,6821.0,143688.0,,104380.0,8408.0,,50152.0,,367043.0,,61850.0,42211.0,9182.0,,191276.0,188437.0,68079.0,18228.0,49851.0,,99675.0,99556.0,120.0,5838.0,40467.0,19350.0,3444.0,,17673.0,1754373.0,78790.0,221121.0,220863.0,257.0,566673.0,,566673.0,72333.0,414744.0,195010.0,165000.0,70847.0,8749.0,387766.0,16699.0,38498.0,241631.0,36098.0,54840.0,496805.0,3218.0,,342125.0,342125.0,,
