srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services under General economic services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food (NSSF),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services under Administrative services ,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department
MADHYA PRADESH,2017-18,Budget Estimates,13451927.0,9032075.0,5641127.0,2517717.0,630464.0,48357.0,284547.0,406291.0,490692.0,401080.0,58822.0,489109.0,140160.0,121805.0,52085.0,3390947.0,1117412.0,502977.0,7735.0,98684.0,,9040.0,203408.0,,133922.0,18247.0,,143401.0,,817825.0,,92635.0,69816.0,21049.0,1770.0,910874.0,901748.0,249639.0,95533.0,154107.0,,145732.0,145202.0,530.0,23575.0,33255.0,2841.0,16468.0,11345.0,2601.0,3669964.0,131197.0,341642.0,341298.0,344.0,1154073.0,,1154073.0,74752.0,915719.0,545199.0,225000.0,132422.0,31179.0,803541.0,20173.0,79999.0,549798.0,57107.0,96465.0,1236900.0,2610.0,,749888.0,749888.0,,
DELHI,2017-18,Accounts,3375402.2,2546412.1,1960211.4,903932.2,433390.2,5363.5,122578.0,10261.5,191290.1,23678.0,13308.9,229968.2,11002.2,1965.5,13473.1,586200.7,11579.2,2157.7,34.8,2544.1,984.6,44.3,3714.1,,,436.3,,1440.6,222.8,1366.5,,16779.8,,1709.8,15070.0,169457.7,169432.2,1465.4,1454.7,10.7,,369860.3,53107.6,316752.7,1050.0,14642.0,1016.4,1461.3,10091.4,2072.8,719595.9,120937.3,161616.6,161614.4,2.2,287067.2,,287067.2,287067.2,,,,,,149462.9,8684.7,16334.6,3541.2,66720.5,54181.9,238.2,273.6,,109394.2,109394.2,,
MADHYA PRADESH,2017-18,Revised Estimates,13449653.0,9077679.0,5684848.0,2312716.0,538304.0,47523.0,308352.0,852328.0,508958.0,318468.0,38553.0,446588.0,134687.0,125786.0,52586.0,3392831.0,1097670.0,548766.0,6567.0,82802.0,,7843.0,178506.0,,134273.0,18266.0,,120647.0,,760997.0,,74315.0,52856.0,19635.0,1824.0,1047473.0,1035754.0,244631.0,91805.0,152825.0,,117826.0,117696.0,130.0,20502.0,29417.0,2840.0,13481.0,10657.0,2439.0,3623348.0,116738.0,296366.0,296077.0,288.0,1196495.0,,1196495.0,61752.0,998352.0,589764.0,218679.0,122922.0,13468.0,956174.0,21432.0,70925.0,522614.0,50117.0,291086.0,1055179.0,2398.0,,748626.0,748626.0,,
DELHI,2017-18,Revised Estimates,3632646.0,2738100.0,2123139.0,956499.0,467705.0,6599.0,134618.0,15312.0,200289.0,33785.0,15833.0,249342.0,15602.0,6163.0,21392.0,614961.0,13061.0,2641.0,45.0,2804.0,1100.0,243.0,3993.0,,,470.0,,1522.0,243.0,1773.0,,17178.0,,1966.0,15212.0,176938.0,176894.0,2233.0,2128.0,105.0,,381120.0,64300.0,316820.0,1268.0,21390.0,1360.0,1980.0,14801.0,3249.0,785152.0,142230.0,176214.0,176209.0,5.0,287067.0,,287067.0,287067.0,,,,,,178540.0,9838.0,19151.0,4178.0,79563.0,65810.0,300.0,801.0,,109394.0,109394.0,,
DELHI,2017-18,Budget Estimates,3842691.0,2819178.0,2239134.0,1018619.0,497888.0,6919.0,117946.0,27189.0,239678.0,38128.0,18658.0,229727.0,18702.0,3623.0,22056.0,580045.0,15620.0,3116.0,43.0,3258.0,1100.0,128.0,5434.0,,,488.0,,1783.0,271.0,4376.0,,20670.0,,1976.0,18694.0,165420.0,163320.0,2520.0,2519.0,1.0,,327604.0,67300.0,260304.0,2097.0,41738.0,1414.0,6836.0,25032.0,8456.0,907246.0,166756.0,218574.0,218562.0,12.0,300647.0,,300647.0,300647.0,,,,,,207279.0,10671.0,49853.0,4028.0,80601.0,62125.0,12500.0,1491.0,,116266.0,116266.0,,
TRIPURA,2017-18,Revised Estimates,1121272.0,614210.0,450755.0,235953.0,52243.0,17909.0,10316.0,125.0,10793.0,41239.0,5334.0,64900.0,4694.0,3601.0,3649.0,163455.0,73739.0,40033.0,924.0,9660.0,652.0,5461.0,11613.0,,2834.0,101.0,,2453.0,8.0,38044.0,620.0,5220.0,12.0,3514.0,1694.0,6526.0,5907.0,7834.0,5664.0,274.0,1896.0,17401.0,11900.0,5501.0,219.0,13853.0,393.0,365.0,11770.0,1325.0,484232.0,21604.0,8973.0,8595.0,379.0,101927.0,,101927.0,1777.0,56745.0,31113.0,12500.0,43405.0,,187427.0,6759.0,7282.0,125436.0,21201.0,26749.0,164300.0,1.0,,22830.0,22830.0,,
TRIPURA,2017-18,Accounts,1035722.0,587677.4,434861.1,214273.5,47911.2,16491.6,14869.7,124.4,10555.7,33417.1,5123.6,64389.6,20752.0,3454.8,3497.9,152816.3,66291.4,33076.5,907.7,12409.4,187.1,4379.3,10340.6,,2615.5,101.4,,2266.4,7.5,36515.5,529.9,6548.7,9.7,5073.3,1465.7,6476.5,5899.9,7131.8,5093.7,273.8,1764.3,17271.7,11896.5,5375.2,215.9,11834.8,361.9,331.5,9936.3,1205.0,437433.8,18564.1,8590.7,8242.7,348.0,88688.9,,88688.9,2086.933,57144.8,36461.146,13691.407,29457.138,,163670.7,6399.3,6481.5,114788.0,20196.1,15805.8,157918.8,0.6,,10610.9,10610.9,,
MADHYA PRADESH,2017-18,Accounts,13024608.8,9108076.3,5834617.4,2365343.8,600567.5,40320.6,308289.0,855063.7,568392.7,335673.3,35603.7,425620.4,127042.5,113111.5,59588.9,3273458.9,1192816.4,578437.4,6266.3,78905.2,,6771.7,174375.6,,155839.9,18188.3,,174031.9,,682057.6,,64532.8,46818.3,16898.4,,975326.1,960216.7,195994.5,98538.2,97456.3,,110225.1,110225.1,,21227.2,31279.3,2602.5,15615.9,,13061.0,3210008.3,118905.6,320488.5,320285.5,203.1,1104533.8,,1104533.8,65205.6,931165.1,596786.7,205511.6,107872.3,290.7,734704.2,19267.3,67008.8,515427.8,44921.1,88079.2,929024.9,2351.3,,706524.3,706524.3,,
NAGALAND,2017-18,Accounts,1019134.8,587194.4,255856.2,148235.4,50981.1,2755.5,9080.8,2826.2,2125.9,4586.1,3535.0,17174.3,6503.6,3714.7,4337.6,331338.2,62553.4,26102.7,4111.7,8987.1,25.1,2060.4,11575.3,,6991.0,835.0,,1865.0,,135647.1,5244.3,2794.3,,2794.3,,45058.5,44653.1,12232.5,9165.2,3067.3,,45427.0,38247.2,7179.8,981.3,21399.8,15539.5,1744.4,,4116.0,431940.4,14732.9,6869.9,6864.9,5.0,90275.4,22500.0,67775.4,1350.6,60012.1,50514.4,1452.7,6412.7,,193189.7,12959.1,13738.6,131345.5,15892.4,19254.2,126409.8,462.7,276.2,,,,
NAGALAND,2017-18,Revised Estimates,1056235.0,615697.0,272262.0,150933.0,55746.0,3007.0,9305.0,3783.0,2043.0,5268.0,3671.0,19298.0,10814.0,3712.0,4681.0,343435.0,67314.0,27252.0,5473.0,9164.0,1075.0,2470.0,11714.0,,7046.0,1248.0,,1870.0,,137673.0,6679.0,3615.0,,3615.0,,44794.0,44368.0,12498.0,9373.0,3125.0,,46528.0,39358.0,7170.0,1109.0,23225.0,17095.0,1846.0,,4284.0,440538.0,14783.0,7270.0,7265.0,5.0,94850.0,22500.0,72350.0,1491.0,63644.0,52640.0,2000.0,7215.0,,192497.0,12579.0,14250.0,130530.0,15395.0,19743.0,130633.0,506.0,293.0,,,,
NAGALAND,2017-18,Budget Estimates,1014994.0,578816.0,283444.0,172248.0,52800.0,2950.0,9219.0,6799.0,4210.0,3500.0,3843.0,17289.0,4985.0,1375.0,4226.0,295372.0,57286.0,24814.0,5425.0,9175.0,1031.0,2579.0,9148.0,,2166.0,1220.0,,1728.0,,82660.0,14598.0,3282.0,,3282.0,,43591.0,43206.0,11409.0,8711.0,2698.0,,36041.0,28489.0,7552.0,1003.0,45502.0,40163.0,1301.0,,4038.0,436178.0,7771.0,6613.0,6608.0,5.0,105220.0,22500.0,82720.0,1517.0,74308.0,61500.0,2000.0,6895.0,,174039.0,9527.0,13321.0,120097.0,13141.0,17952.0,142102.0,434.0,265.0,,,,
JAMMU AND KASHMIR,2017-18,Budget Estimates,4822713.0,2912946.0,1450613.0,755345.0,267914.0,3659.0,118657.0,8942.0,70598.0,9123.0,6096.0,103836.0,67893.0,28182.0,10368.0,1462333.0,234903.0,52727.0,7219.0,47188.0,,6879.0,71316.0,,15970.0,24371.0,,6090.0,3144.0,47140.0,4568.0,63316.0,9692.0,39419.0,10899.0,1026984.0,1026984.0,40925.0,35906.0,5020.0,,11673.0,11673.0,,4214.0,28610.0,6752.0,13341.0,,8517.0,1909767.0,47187.0,43042.0,42806.0,236.0,520757.0,5079.0,515678.0,8776.0,278332.0,189159.0,42512.0,188524.0,40046.0,798665.0,10493.0,22620.0,566483.0,63602.0,135467.0,500000.0,116.0,16.0,,,,
JAMMU AND KASHMIR,2017-18,Revised Estimates,4332376.0,2601025.0,1390911.0,716377.0,251385.0,3132.0,118256.0,9244.0,70381.0,8993.0,5318.0,104300.0,65464.0,28169.0,9893.0,1210114.0,213282.0,48230.0,6803.0,42643.0,,6904.0,61582.0,,13777.0,24430.0,,5900.0,3014.0,41819.0,3927.0,56566.0,8220.0,35305.0,10310.0,818398.0,818398.0,34275.0,29913.0,4362.0,,9371.0,9371.0,,3315.0,29160.0,7045.0,13777.0,,8339.0,1731351.0,43213.0,66349.0,66181.0,168.0,464501.0,5079.0,459422.0,8806.0,265144.0,195186.0,40270.0,145765.0,39707.0,657173.0,11184.0,19010.0,500653.0,64797.0,61529.0,500000.0,115.0,15.0,,,,
JAMMU AND KASHMIR,2017-18,Accounts,4091649.5,2402828.3,1311697.2,697515.8,240674.8,16038.2,129986.9,9974.4,70293.5,10876.2,3520.7,104246.8,7034.1,13519.4,8016.6,1091131.2,203233.6,41996.4,6165.3,40195.0,,6858.9,60705.0,,15984.9,24388.6,,3981.1,2958.4,36385.1,59568.6,52194.7,7261.7,32837.3,9402.2,506191.0,506191.0,32662.3,28988.1,3674.2,,133389.9,133389.9,,3074.2,64431.8,44920.5,13194.0,,6317.3,1688821.1,31348.0,28095.1,27984.1,111.0,471366.1,5079.0,466287.1,8805.9,295533.9,195255.8,40668.4,146481.4,15465.9,617045.3,8533.8,17526.6,480806.6,52308.1,57870.2,540831.7,135.0,35.0,,,,
TAMIL NADU,2017-18,Budget Estimates,17529313.0,10119666.0,6335176.0,3139876.0,735116.0,199635.0,141180.0,237112.0,135943.0,420543.0,56846.0,823002.0,351808.0,74819.0,19297.0,3784490.0,1137347.0,608355.0,10433.0,89514.0,6510.0,48442.0,33789.0,1.0,,73884.0,,248962.0,17456.0,465587.0,464.0,140575.0,119716.0,8897.0,11961.0,920108.0,919923.0,314049.0,133061.0,180988.0,,180168.0,96626.0,83542.0,1292.0,624902.0,7431.0,2642.0,571886.0,42943.0,6004945.0,139853.0,115784.0,114802.0,982.0,2569138.0,41500.0,2527638.0,48519.0,2105284.0,1783690.0,221893.0,358104.0,15730.0,910130.0,43370.0,120540.0,577970.0,40669.0,127582.0,2237522.0,32518.0,,1404703.0,1404703.0,,
ARUNACHAL PRADESH,2017-18,Accounts,1090046.9,741571.0,395083.4,171766.1,87487.6,1863.9,67034.4,5321.4,9546.5,,3351.3,27896.1,4553.0,11496.7,4766.6,346487.7,76918.5,25211.9,7447.0,11599.4,252.3,2599.6,21532.1,,3442.0,3078.9,,1429.7,325.7,57562.3,1770.6,27486.2,25226.1,1860.1,70421.7,68570.7,9078.1,6500.4,2577.6,,83453.3,68703.9,14749.5,4582.4,15214.5,2809.2,3584.8,5255.4,3565.1,348475.9,14078.1,5088.1,4938.9,149.2,66735.8,20000.0,46735.8,,,,,,,46735.8,170025.0,16074.1,29697.5,87805.1,26491.7,9956.6,92397.3,151.7,,,,,
